alpha,tau_factor,tau,s,err_K_mean,diverged,prox,B,C,network,backtracks
0.1,0.4,0.12996614652269506,0.05,0.002691643582238612,False,1000,2000,1000,0,0
0.1,0.4,0.12996614652269506,0.1,0.0026838749827220454,False,1000,2000,1000,0,0
0.1,0.6,0.19494921978404256,0.05,0.0015302458491532889,False,1000,2000,1000,0,0
0.1,0.6,0.19494921978404256,0.1,0.001490377934260323,False,1000,2000,1000,0,0
0.1,0.8,0.2599322930453901,0.05,0.0010438124090796919,False,1000,2000,1000,0,0
0.1,0.8,0.2599322930453901,0.1,0.0009702570737317728,False,1000,2000,1000,0,0
0.1,0.95,0.3086695979914007,0.05,0.0008489519252634636,False,1000,2000,1000,0,0
0.1,0.95,0.3086695979914007,0.1,0.0007518535115877967,False,1000,2000,1000,0,0
0.2,0.4,0.12996614652269506,0.05,0.0022778501956963737,False,1000,2000,1000,0,0
0.2,0.4,0.12996614652269506,0.1,0.0022706830382048793,False,1000,2000,1000,0,0
0.2,0.6,0.19494921978404256,0.05,0.0012878300103693618,False,1000,2000,1000,0,0
0.2,0.6,0.19494921978404256,0.1,0.0012500765401455283,False,1000,2000,1000,0,0
0.2,0.8,0.2599322930453901,0.05,0.0008793359713763493,False,1000,2000,1000,0,0
0.2,0.8,0.2599322930453901,0.1,0.0008095401828995819,False,1000,2000,1000,0,0
0.2,0.95,0.3086695979914007,0.05,0.0007136605568121013,False,1000,2000,1000,0,0
0.2,0.95,0.3086695979914007,0.1,0.0006247924653735026,False,1000,2000,1000,0,0
0.4,0.4,0.12996614652269506,0.05,0.022401448208256625,False,1000,2000,1000,0,0
0.4,0.4,0.12996614652269506,0.1,0.01563987041299697,False,1000,2000,1000,0,0
0.4,0.6,0.19494921978404256,0.05,0.02960300023551099,False,1000,2000,1000,0,0
0.4,0.6,0.19494921978404256,0.1,0.02002613479271531,False,1000,2000,1000,0,0
0.4,0.8,0.2599322930453901,0.05,0.03540998452808708,False,1000,2000,1000,0,0
0.4,0.8,0.2599322930453901,0.1,0.023775657813530415,False,1000,2000,1000,0,0
0.4,0.95,0.3086695979914007,0.05,0.03932435633032583,False,1000,2000,1000,0,0
0.4,0.95,0.3086695979914007,0.1,0.026085905235959217,False,1000,2000,1000,0,0
0.6,0.4,0.12996614652269506,0.05,0.058254082628991455,False,1000,2000,1000,0,0
0.6,0.4,0.12996614652269506,0.1,0.04125406211824156,False,1000,2000,1000,0,0
0.6,0.6,0.19494921978404256,0.05,0.07101332145975903,False,1000,2000,1000,0,0
0.6,0.6,0.19494921978404256,0.1,0.04828213126165792,False,1000,2000,1000,0,0
0.6,0.8,0.2599322930453901,0.05,0.08080226031597704,False,1000,2000,1000,0,0
0.6,0.8,0.2599322930453901,0.1,0.05322300596162677,False,1000,2000,1000,0,0
0.6,0.95,0.3086695979914007,0.05,0.08671650616452098,False,1000,2000,1000,0,0
0.6,0.95,0.3086695979914007,0.1,0.05617810459807515,False,1000,2000,1000,0,0
