mean,method,ratio_to_fixed,setting,std
0.0010663102161743154,plain-FBHF,2.8526432854866735,low noise,0.0012449982852012706
0.0010121760440711114,line-search-FBHF,2.707820999979901,low noise,0.0012672998781454539
0.000275028531461885,learned-warped-bv,0.7357692739799753,low noise,0.0003213205168293659
0.0008650275792660977,plain-FBHF,3.2341352421988248,high noise,0.0012219618069413897
0.0008094131614200251,line-search-FBHF,3.026205977234863,high noise,0.0012237226855633986
0.00018654361065273406,learned-warped-bv,0.697442809778248,high noise,0.00018350590613227882
0.002655472356309474,plain-FBHF,5.564250044804566,wide blur high noise,0.002241932695326847
0.0025972927070370133,line-search-FBHF,5.44234099336902,wide blur high noise,0.002242563864256576
0.00036946650504887657,learned-warped-bv,0.774176395543095,wide blur high noise,0.00033112769233335765
7.622124897466165e-05,plain-FBHF,0.6784473159972196,small blur high noise,4.2416046089590906e-05
2.119615245987916e-05,line-search-FBHF,0.18866750334481405,small blur high noise,1.9051289225834916e-05
6.240430801085495e-05,learned-warped-bv,0.5554623657597481,small blur high noise,3.104872351812859e-05
0.00036656001060464405,plain-FBHF,0.005122107401469364,motion Gaussian,0.0003686327223120313
0.0002575238916051603,line-search-FBHF,0.0035984968165790267,motion Gaussian,0.0003413369791643767
0.012019757590621793,learned-warped-bv,0.16795746272823645,motion Gaussian,0.01142495011398349
