tau,s,validation_mean_merit
0.23399168101158724,0.23399168101158724,0.04873070493340492
0.23399168101158724,0.3342738300165532,0.045194052159786224
0.23399168101158724,0.4679833620231745,0.04339241981506348
0.23399168101158724,0.6685476600331064,0.042106859385967255
0.23399168101158724,0.935966724046349,0.041051238775253296
0.23399168101158724,1.3370953200662128,0.039898067712783813
0.23399168101158724,2.005642980099319,0.03858070820569992
0.3342738300165532,0.23399168101158724,0.03254915028810501
0.3342738300165532,0.3342738300165532,0.030454866588115692
0.3342738300165532,0.4679833620231745,0.029376443475484848
0.3342738300165532,0.6685476600331064,0.028492335230112076
0.3342738300165532,0.935966724046349,0.02771119773387909
0.3342738300165532,1.3370953200662128,0.02689475566148758
0.3342738300165532,2.005642980099319,0.02611612342298031
0.4679833620231745,0.23399168101158724,0.020010290667414665
0.4679833620231745,0.3342738300165532,0.018856331706047058
0.4679833620231745,0.4679833620231745,0.018222391605377197
0.4679833620231745,0.6685476600331064,0.017657333984971046
0.4679833620231745,0.935966724046349,0.017146753147244453
0.4679833620231745,1.3370953200662128,0.016676180064678192
0.4679833620231745,2.005642980099319,0.016386710107326508
0.6685476600331064,0.23399168101158724,0.010074540972709656
0.6685476600331064,0.3342738300165532,0.009580561891198158
0.6685476600331064,0.4679833620231745,0.009253501892089844
0.6685476600331064,0.6685476600331064,0.008954855613410473
0.6685476600331064,0.935966724046349,0.008719642646610737
0.6685476600331064,1.3370953200662128,0.008572392165660858
0.6685476600331064,2.005642980099319,0.00882558524608612
0.935966724046349,0.23399168101158724,0.0041986797004938126
0.935966724046349,0.3342738300165532,0.0040157148614525795
0.935966724046349,0.4679833620231745,0.0038849106058478355
0.935966724046349,0.6685476600331064,0.0037751984782516956
0.935966724046349,0.935966724046349,0.003714140970259905
0.935966724046349,1.3370953200662128,0.00376524543389678
0.935966724046349,2.005642980099319,0.004792466759681702
1.3370953200662128,0.23399168101158724,0.0011742699425667524
1.3370953200662128,0.3342738300165532,0.001132363104261458
1.3370953200662128,0.4679833620231745,0.0011028379667550325
1.3370953200662128,0.6685476600331064,0.0010853654239326715
1.3370953200662128,0.935966724046349,0.0011063010897487402
1.3370953200662128,1.3370953200662128,0.0013547217240557075
1.3370953200662128,2.005642980099319,0.022380810230970383
2.005642980099319,0.23399168101158724,0.0001461431966163218
2.005642980099319,0.3342738300165532,0.00014249110245145857
2.005642980099319,0.4679833620231745,0.000140984047902748
2.005642980099319,0.6685476600331064,0.0001473173324484378
2.005642980099319,0.935966724046349,0.0001965583796845749
2.005642980099319,1.3370953200662128,0.02891390584409237
2.005642980099319,2.005642980099319,0.1205936074256897
