method,iter,dominant_B_calls,mean_rel_error
plain-FBHF,0,0,0.999985933303833
plain-FBHF,75,150,0.9399746656417847
plain-FBHF,150,300,0.8862043619155884
plain-FBHF,300,600,0.7927433252334595
fixed-warped-FBHF,0,0,0.999985933303833
fixed-warped-FBHF,75,150,0.18833789229393005
fixed-warped-FBHF,150,300,0.04053639620542526
fixed-warped-FBHF,300,600,0.0018832224886864424
Tseng-FBF,0,0,0.999985933303833
Tseng-FBF,75,150,0.9515645503997803
Tseng-FBF,150,300,0.9072132110595703
Tseng-FBF,300,600,0.8284460306167603
extragradient,0,0,0.999985933303833
extragradient,75,150,0.9515657424926758
extragradient,150,300,0.907214343547821
extragradient,300,600,0.8284471035003662
FRB,0,1,0.999985933303833
FRB,75,76,0.9695391654968262
FRB,150,151,0.9401223063468933
FRB,300,301,0.8863924741744995
learned-warped-FBHF,0,0,0.999985933303833
learned-warped-FBHF,75,150,0.18846049904823303
learned-warped-FBHF,150,300,0.0405748076736927
learned-warped-FBHF,300,600,0.0018863591831177473
