iter,train_score,val_score,val_merit,saved
1,0.05732309818267822,0.057072028517723083,0.057072028517723083,1
100,0.03382989764213562,0.03453116863965988,0.03453116863965988,1
200,0.03509564697742462,0.03418000787496567,0.03418000787496567,1
300,0.03306220471858978,0.03409281373023987,0.03409281373023987,1
400,0.03362417221069336,0.03374071046710014,0.03374071046710014,1
500,0.03526992350816727,0.03422199934720993,0.03422199934720993,0
600,0.03282415121793747,0.03258126974105835,0.03258126974105835,1
700,0.032281264662742615,0.03321077674627304,0.03321077674627304,0
800,0.032346874475479126,0.03203628957271576,0.03203628957271576,1
900,0.033052269369363785,0.03335828706622124,0.03335828706622124,0
1000,0.03585701435804367,0.0331961028277874,0.0331961028277874,0
1100,0.03320416063070297,0.03451629728078842,0.03451629728078842,0
1200,0.03287914767861366,0.03153610974550247,0.03153610974550247,1
1300,0.03349882364273071,0.034375183284282684,0.034375183284282684,0
1400,0.0317344143986702,0.03308791294693947,0.03308791294693947,0
1500,0.031146543100476265,0.032171960920095444,0.032171960920095444,0
1600,0.032626405358314514,0.032496534287929535,0.032496534287929535,0
1700,0.0318472683429718,0.034205835312604904,0.034205835312604904,0
1800,0.031106436625123024,0.032857052981853485,0.032857052981853485,0
1900,0.03372558206319809,0.032289136201143265,0.032289136201143265,0
2000,0.03513508662581444,0.03307170420885086,0.03307170420885086,0
2100,0.03192313760519028,0.03266681358218193,0.03266681358218193,0
2200,0.03368939459323883,0.03272257745265961,0.03272257745265961,0
2300,0.03211069107055664,0.032236192375421524,0.032236192375421524,0
2400,0.031640082597732544,0.03148753568530083,0.03148753568530083,1
2500,0.03436470031738281,0.0335305780172348,0.0335305780172348,0
2600,0.03066674806177616,0.03179264813661575,0.03179264813661575,0
2700,0.033092793077230453,0.03479481488466263,0.03479481488466263,0
2800,0.03455323725938797,0.033290766179561615,0.033290766179561615,0
2900,0.03411366045475006,0.0322645902633667,0.0322645902633667,0
3000,0.0313154011964798,0.03429453819990158,0.03429453819990158,0
